VARIABLE,VARIABLE_NAME,ITEM_DESCRIPTION,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,GEO_COVERAGE,SEASONALLY_ADJUSTED,SOURCE
harmonized_index_of_consumer_prices_nonelectric_kitchen_utensils_and_articles_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Non-Electric Kitchen Utensils And Articles, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Non-Electric Kitchen Utensils And Articles,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_fish_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Fish, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Fish,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_supercore_output_gap_sensitive_harmonized_index_of_consumer_prices_excluding_energy_and_food_items_annual_rate_of_change_european_central_bank_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Supercore (Output Gap Sensitive Harmonized Index Of Consumer Prices Excluding Energy And Food Items), Annual Rate Of Change, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Percent",Supercore,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_repair_of_jewellery_clocks_and_watches_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Repair Of Jewellery, Clocks And Watches, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Repair Of Jewellery, Clocks And Watches",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_beerbased_drinks_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Beer-Based Drinks, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Beer-Based Drinks,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_unprocessed_food_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Unprocessed Food, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Unprocessed Food,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_social_protection_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Social Protection, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Social Protection,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_allitems_excluding_energy_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - All-Items Excluding Energy, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",All-Items Excluding Energy,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_footwear_for_infants_and_children_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Footwear For Infants And Children, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Footwear For Infants And Children,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_goods_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Goods, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Goods,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_hairdressing_for_men_and_children_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Hairdressing For Men And Children, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Hairdressing For Men And Children,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_household_textiles_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Household Textiles, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Household Textiles,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_lubricants_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Lubricants, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Lubricants,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_nondurable_household_goods_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2005=100,"Harmonized Index Of Consumer Prices - Non-Durable Household Goods, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2005=100",Non-Durable Household Goods,Harmonized Index Of Consumer Prices,"Index, 2005=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_carpets_and_other_floor_coverings_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Carpets And Other Floor Coverings, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Carpets And Other Floor Coverings,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_international_flights_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - International Flights, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",International Flights,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_maintenance_and_repair_of_the_dwelling_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Maintenance And Repair Of The Dwelling, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Maintenance And Repair Of The Dwelling,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_passenger_transport_by_underground_and_tram_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Passenger Transport By Underground And Tram, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Passenger Transport By Underground And Tram,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_milk_products_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Milk Products, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Milk Products,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_funeral_services_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Funeral Services, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Funeral Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_confectionery_products_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Confectionery Products, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Confectionery Products,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_bread_and_cereals_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Bread And Cereals, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Bread And Cereals,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_paper_products_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Paper Products, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Paper Products,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_hearing_aids_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Hearing Aids, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Hearing Aids,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_energy_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Energy, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Energy,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_package_holidays_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2005=100,"Harmonized Index Of Consumer Prices - Package Holidays, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2005=100",Package Holidays,Harmonized Index Of Consumer Prices,"Index, 2005=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_allitems_excluding_frequent_outofpocket_purchases_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - All-Items Excluding Frequent Out-Of-Pocket Purchases, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",All-Items Excluding Frequent Out-Of-Pocket Purchases,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_misc_printed_matter_and_stationery_and_drawing_materials_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2005=100,"Harmonized Index Of Consumer Prices - Misc. Printed Matter And Stationery And Drawing Materials, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2005=100",Misc. Printed Matter And Stationery And Drawing Materials,Harmonized Index Of Consumer Prices,"Index, 2005=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_solid_fuels_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Solid Fuels, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Solid Fuels,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
