VARIABLE,VARIABLE_NAME,SEASONALLY_ADJUSTED,FREQUENCY,UNIT,REPORT,MEASURE,INDUSTRY,ESTABLISHMENT_SIZE
"JOLTS:_Quits,_Total_private,_50_to_249_employees,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Total private, 50 to 249 employees, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Quits,Total private,50 to 249 employees
"JOLTS:_Job_openings,_Other_services,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Other services, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Job openings,Other services,All size classes
"JOLTS:_Other_separations,_Education_and_health_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Other separations, Education and health services, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Other separations,Education and health services,All size classes
"JOLTS:_Hires,_Professional_and_business_services,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Professional and business services, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Hires,Professional and business services,All size classes
"JOLTS:_Job_openings,_Total_nonfarm,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Total nonfarm, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Job openings,Total nonfarm,All size classes
"JOLTS:_Layoffs_and_discharges,_Total_nonfarm,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Total nonfarm, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Layoffs and discharges,Total nonfarm,All size classes
"JOLTS:_Layoffs_and_discharges,_Wholesale_trade,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Layoffs and discharges, Wholesale trade, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Layoffs and discharges,Wholesale trade,All size classes
"JOLTS:_Job_openings,_Information,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Job openings, Information, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Job openings,Information,All size classes
"JOLTS:_Quits,_Mining_and_logging,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Quits, Mining and logging, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Quits,Mining and logging,All size classes
"JOLTS:_Other_separations,_Trade,_transportation,_and_utilities,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Trade, transportation, and utilities, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Other separations,"Trade, transportation, and utilities",All size classes
"JOLTS:_Other_separations,_Financial_activities,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Financial activities, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Financial activities,All size classes
"JOLTS:_Layoffs_and_discharges,_Health_care_and_social_assistance,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Health care and social assistance, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Layoffs and discharges,Health care and social assistance,All size classes
"JOLTS:_Total_separations,_Government,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Total separations, Government, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Total separations,Government,All size classes
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Retail_Trade,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Retail Trade, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Retail Trade,
"State_and_Metro_Employment:_All_Employees,_Government:_Local_Government_excluding_Educational_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Government: Local Government excluding Educational Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Government: Local Government excluding Educational Services,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Community_Food_and_Housing,_and_Emergency_and_Other_Relief_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Education and Health Services: Community Food and Housing, and Emergency and Other Relief Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Education and Health Services: Community Food and Housing, and Emergency and Other Relief Services",
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Other_General_Purpose_Machinery_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Durable Goods: Other General Purpose Machinery Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Durable Goods: Other General Purpose Machinery Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Mining_and_Logging:_Coal_Mining,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Mining and Logging: Coal Mining, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Mining and Logging: Coal Mining,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Ship_and_Boat_Building,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Ship and Boat Building, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Ship and Boat Building,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Professional_and_Business_Services:_Professional,_Scientific,_and_Technical_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Professional and Business Services: Professional, Scientific, and Technical Services, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,"Professional and Business Services: Professional, Scientific, and Technical Services",
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Medical_and_Diagnostic_Laboratories,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Education and Health Services: Medical and Diagnostic Laboratories, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Education and Health Services: Medical and Diagnostic Laboratories,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Ambulatory_Health_Care_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Education and Health Services: Ambulatory Health Care Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Education and Health Services: Ambulatory Health Care Services,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Aerospace_Product_and_Parts_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Aerospace Product and Parts Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Aerospace Product and Parts Manufacturing,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Durable_Goods:_Machinery_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Durable Goods: Machinery Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Durable Goods: Machinery Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Engine,_Turbine,_and_Power_Transmission_Equipment_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Durable Goods: Engine, Turbine, and Power Transmission Equipment Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Durable Goods: Engine, Turbine, and Power Transmission Equipment Manufacturing",
"State_and_Metro_Employment:_All_Employees,_Professional_and_Business_Services:_Specialized_Design_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Professional and Business Services: Specialized Design Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Professional and Business Services: Specialized Design Services,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Wholesale_Trade:_Merchant_Wholesalers,_Durable_Goods,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Wholesale Trade: Merchant Wholesalers, Durable Goods, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,"Wholesale Trade: Merchant Wholesalers, Durable Goods",
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Education_and_Health_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Education and Health Services, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Education and Health Services,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Home_Health_Care_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Education and Health Services: Home Health Care Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Education and Health Services: Home Health Care Services,
"JOLTS:_Other_separations,_Arts,_entertainment,_and_recreation,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Other separations, Arts, entertainment, and recreation, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Other separations,"Arts, entertainment, and recreation",All size classes
"JOLTS:_Other_separations,_Education_and_health_services,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Other separations, Education and health services, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Other separations,Education and health services,All size classes
"JOLTS:_Quits,_Health_care_and_social_assistance,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Health care and social assistance, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Quits,Health care and social assistance,All size classes
"JOLTS:_Other_separations,_Durable_goods_manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Durable goods manufacturing, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Other separations,Durable goods manufacturing,All size classes
"JOLTS:_Other_separations,_Health_care_and_social_assistance,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Health care and social assistance, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Other separations,Health care and social assistance,All size classes
"JOLTS:_Quits,_Durable_goods_manufacturing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Durable goods manufacturing, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Quits,Durable goods manufacturing,All size classes
"JOLTS:_Hires,_Finance_and_insurance,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Hires, Finance and insurance, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Hires,Finance and insurance,All size classes
"JOLTS:_Layoffs_and_discharges,_State_and_local,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Layoffs and discharges, State and local, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Layoffs and discharges,State and local,All size classes
"JOLTS:_Layoffs_and_discharges,_Total_private,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Total private, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Layoffs and discharges,Total private,All size classes
"JOLTS:_Other_separations,_Retail_trade,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Retail trade, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Retail trade,All size classes
